type,fpar,nirv,nirvp,lue,lai,glass_lai,apar,norm_nirv_glass,norm_nirv_modis
CRO,0.63,0.265800823937617,108.022529064926,0.0492661061285673,1.6625,2.2125,267.35526083333355,0.10592996602788891,0.15121000423817435
CSH,0.3925,0.1156710957691435,38.6991990131284,0.03286115368688215,0.9,1.3,137.18749942708348,0.09567911566468651,0.13019429982623268
DBF,0.8401785714285714,0.30599784714747,72.34966946557029,0.0382593456386687,4.328125034375,5.2,207.006654025698,0.06572290143812591,0.07829799235526418
ENF,0.615,0.133179339622642,26.31835772801915,0.03895778933886465,1.5625000249999998,2.15,107.74710069475,0.06018365597934071,0.08473276235244112
GRA,0.54,0.1700968193183195,42.49505000829315,0.03238906473668805,1.3250000625,1.55,136.921470833333,0.11004599842527435,0.13557215449109705
MF,0.8,0.2265758462364975,43.57962687680795,0.03813325501463895,3.343750065625,4.081250000000001,137.774523854255,0.05868055519283212,0.07786049552209567
OSH,0.26291666666666647,0.0679199376274637,26.3773916575497,0.0208261214202626,0.403125,0.5,83.24770356901935,0.14347352150409337,0.16955665253704766
SAV,0.3270833333333332,0.09462614176082777,42.14169105095195,0.023901139530917225,0.5828125,0.778125,143.73556172687375,0.1288061422882148,0.15148198986082392
WET,0.6168750000000001,0.1718448974692775,39.71369646463637,0.029345955813793102,1.512500025,1.596875,132.747841349896,0.1025510828786676,0.11620112894068596
WSA,0.44,0.110505419465425,41.369385820289,0.02447351204217485,0.95,1.1,141.9778880425,0.1021186546829638,0.11204671779188513
mid_EBF,0.765,0.154455005802911,22.03161380112415,0.037415503234879674,2.5250000125,3.634375,97.61141658431626,0.048047026196810755,0.06729541441369968
tropical_EBF,0.890128205128205,0.2717321704507545,104.7507879498395,0.0308850963170933,5.51025641282051,5.3875,349.657511979315,0.049662759130903476,0.049734462759405886
